R_blocks,G_blocks,B_blocks,assigned row,assigned col,Path
254,87,98,57,94,
238,243,118,61,85,
249,174,93,70,64,
146,0,197,70,13,
77,228,70,52,58,
137,127,213,59,122,
4,182,210,37,124,
126,16,230,52,42,
235,247,47,26,113,
97,126,66,43,27,
71,55,209,40,102,
222,22,168,59,119,
59,182,182,47,62,
14,82,172,34,5,
214,69,230,23,7,
97,35,91,38,108,
215,100,187,42,123,
15,140,237,49,15,
220,51,221,37,21,
239,115,166,35,9,
57,186,252,48,39,
91,243,231,58,86,
146,161,46,59,93,
172,125,34,71,100,
0,121,147,10,7,
16,16,203,28,125,
88,157,67,67,22,
18,151,110,55,124,
45,188,96,57,65,
119,139,183,19,127,
140,190,171,55,111,
126,120,139,60,125,
9,115,215,29,125,
169,16,30,53,45,
216,244,156,44,4,
204,241,157,55,29,
239,125,137,40,92,
27,51,29,51,103,
166,51,106,44,67,
38,132,102,37,127,
21,162,235,24,63,
112,114,139,37,15,
211,193,196,39,106,
142,12,47,38,112,
54,73,81,29,109,
211,1,31,31,23,
132,74,214,32,121,
159,151,249,54,101,
98,172,58,67,18,
75,193,215,70,41,
21,244,205,48,69,
147,56,82,62,88,
146,65,48,66,0,
76,74,79,47,106,
206,147,78,51,105,
78,188,213,62,21,
83,251,173,67,21,
108,195,119,43,77,
135,63,203,38,113,
58,218,21,64,27,
198,191,179,56,106,
231,172,194,29,119,
143,217,191,65,2,
51,26,30,59,77,
83,35,140,49,16,
57,100,213,1,0,
128,104,3,49,105,
134,69,96,46,53,
151,68,113,49,4,
76,143,73,61,0,
120,96,146,61,102,
35,224,122,36,2,
213,76,231,49,91,
199,236,39,58,21,
35,235,227,27,0,
115,122,186,59,112,
120,94,210,27,123,
118,156,164,67,126,
110,106,6,59,121,
57,208,176,45,99,
245,20,238,71,92,
60,26,120,31,125,
126,119,98,47,59,
11,233,134,49,55,
169,154,111,53,106,
20,226,199,37,119,
66,129,28,65,64,
217,147,103,47,11,
140,193,144,44,71,
193,146,249,33,18,
231,184,196,53,29,
241,3,50,54,18,
116,39,149,31,5,
53,180,128,35,17,
57,152,213,46,66,
24,215,98,44,31,
25,117,176,40,9,
112,44,72,37,122,
16,238,114,54,3,
208,79,211,33,105,
248,30,107,38,102,
115,197,110,58,125,
208,32,99,60,17,
200,79,189,55,102,
47,106,122,37,14,
113,14,15,62,57,
5,70,191,49,114,
161,125,246,38,6,
33,64,201,40,96,
35,57,31,48,81,
212,233,196,41,22,
231,221,91,45,37,
41,172,176,45,50,
239,210,128,54,88,
102,13,144,40,21,
185,215,227,58,98,
224,177,46,27,73,
207,95,70,29,8,
72,136,174,32,113,
247,2,119,47,90,
157,219,154,45,105,
248,126,191,59,99,
196,66,138,61,33,
218,128,71,27,114,
87,97,71,63,121,
219,126,245,71,12,
212,193,142,68,7,
68,63,34,34,123,
234,48,76,35,29,
238,30,206,68,126,
63,99,46,69,76,
69,170,59,62,36,
165,0,219,58,78,
127,40,109,28,115,
50,156,145,43,12,
48,193,103,61,67,
162,239,71,70,59,
208,210,16,55,30,
48,6,78,66,10,
99,19,45,31,8,
66,228,186,64,22,
183,38,52,47,102,
211,36,127,52,106,
114,174,60,62,39,
124,22,152,55,121,
169,196,210,52,96,
193,248,139,47,124,
24,124,166,37,29,
74,177,137,65,36,
138,146,169,59,35,
179,128,41,39,120,
244,190,180,53,10,
