R_blocks,G_blocks,B_blocks,assigned row,assigned col,Path
242,229,15,40,40,
17,3,37,5,122,
56,139,215,8,114,
218,95,57,49,4,
221,239,183,35,79,
158,64,17,50,90,
177,77,237,26,111,
218,217,228,32,75,
181,108,197,34,103,
192,242,179,35,91,
25,237,48,20,14,
244,7,93,61,71,
101,60,187,17,78,
21,198,89,17,23,
46,250,13,40,116,
28,81,31,59,82,
83,69,17,24,6,
64,19,79,3,23,
44,229,187,5,113,
166,172,29,37,119,
97,45,51,11,73,
13,248,156,6,113,
211,68,61,64,66,
131,57,43,29,126,
9,22,139,3,123,
32,114,45,17,24,
181,31,42,55,37,
198,84,224,33,103,
199,58,205,24,118,
7,80,43,69,98,
27,157,142,8,113,
21,11,91,4,124,
20,26,160,2,106,
88,69,127,21,103,
117,23,77,24,112,
119,252,76,35,86,
21,128,70,8,96,
5,137,104,5,95,
126,4,166,17,6,
111,236,14,42,115,
114,109,108,31,58,
231,176,69,40,39,
45,215,109,28,90,
119,235,120,34,86,
71,239,135,24,78,
39,49,142,5,100,
165,224,207,30,68,
185,221,7,40,38,
239,189,37,40,41,
214,212,250,33,75,
82,85,113,12,26,
192,68,33,64,60,
53,195,148,23,78,
231,225,253,34,75,
118,45,149,19,78,
212,163,65,37,55,
11,96,62,9,96,
84,238,207,6,114,
123,50,152,25,112,
77,232,235,4,113,
217,32,38,60,72,
156,114,233,25,79,
101,134,247,7,114,
247,145,107,33,115,
32,200,103,26,95,
208,114,18,33,122,
130,67,231,16,49,
114,69,151,22,101,
225,228,250,35,75,
13,174,122,17,12,
223,109,182,28,120,
160,25,176,24,120,
244,23,0,70,103,
54,43,16,10,37,
71,154,132,17,40,
86,181,75,35,90,
167,174,225,29,68,
212,124,8,37,111,
40,189,211,4,112,
47,99,153,1,98,
234,197,177,36,79,
215,94,146,28,112,
209,101,54,36,105,
177,161,133,36,91,
43,119,62,17,25,
225,234,156,33,79,
136,29,204,24,101,
67,133,143,17,48,
39,182,30,42,117,
54,241,27,41,117,
177,239,1,39,45,
143,219,185,33,96,
7,141,164,6,112,
62,51,34,23,110,
165,192,122,36,58,
123,245,117,31,86,
241,162,151,35,74,
40,0,216,0,91,
214,95,254,26,79,
216,76,10,41,29,
226,176,224,28,79,
73,232,175,20,74,
2,227,25,42,123,
181,80,203,30,105,
78,222,252,3,113,
38,163,254,0,110,
90,122,142,22,76,
131,125,91,28,39,
246,211,163,34,79,
132,33,52,67,70,
47,66,57,20,11,
131,236,1,38,117,
214,197,7,37,117,
243,118,14,41,32,
174,118,170,33,106,
105,135,246,20,75,
21,221,60,18,23,
16,98,211,5,104,
220,143,96,38,79,
67,229,165,19,74,
136,173,104,36,86,
6,179,224,7,113,
170,151,237,28,116,
147,195,100,36,93,
11,46,71,7,100,
152,66,191,25,101,
89,9,52,60,41,
207,192,10,36,118,
215,182,55,41,41,
229,54,77,65,59,
248,197,149,37,79,
154,31,145,29,120,
118,160,52,37,95,
29,107,77,14,12,
159,170,162,30,97,
193,18,122,30,106,
177,30,165,27,112,
127,76,138,14,72,
168,1,220,23,79,
246,157,60,41,40,
41,172,111,16,24,
67,9,166,2,118,
94,235,163,29,97,
195,252,38,39,42,
209,229,30,40,37,
33,225,130,30,90,
31,181,61,19,25,
127,250,20,34,55,
230,116,104,33,80,
159,71,198,28,119,
236,41,211,32,103,
206,3,141,30,115,
113,104,51,15,40,
94,57,199,6,97,
44,56,93,15,90,
150,44,197,25,111,
52,5,209,0,10,
106,4,215,0,117,
226,43,118,63,59,
199,254,28,37,118,
59,196,5,43,120,
56,126,187,3,101,
13,174,207,1,110,
207,95,40,31,123,
1,8,48,3,124,
79,57,120,16,78,
53,206,223,2,112,
49,190,47,29,104,
168,123,35,38,100,
66,121,227,9,115,
230,42,187,29,119,
66,79,129,21,127,
74,211,17,41,120,
226,40,88,63,63,
10,230,149,4,111,
199,66,81,29,112,
78,86,190,17,49,
211,90,63,31,66,
22,55,160,6,118,
202,254,150,36,78,
253,227,71,41,42,
54,230,132,27,95,
152,100,106,31,80,
58,139,94,19,23,
238,170,233,30,79,
135,36,117,18,11,
209,50,32,67,64,
139,207,107,35,93,
186,3,182,26,120,
12,76,119,3,105,
89,138,252,2,113,
190,50,150,31,101,
200,175,206,29,93,
153,181,45,33,114,
162,219,152,37,58,
254,17,205,31,103,
113,127,69,35,95,
126,240,100,33,86,
0,176,19,59,85,
214,174,114,37,76,
118,120,153,23,76,
154,177,135,34,97,
41,22,19,67,92,
174,1,117,64,68,
59,170,224,1,111,
46,145,77,16,15,
226,140,107,35,80,
