R_blocks,G_blocks,B_blocks,assigned row,assigned col,Path
128,58,101,31,18,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\1.png
85,90,205,69,107,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\2.png
68,176,157,61,94,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\3.png
245,81,137,74,124,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\4.png
110,19,176,43,4,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\5.png
166,213,111,65,93,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\6.png
228,66,0,46,27,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\7.png
93,126,223,43,15,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\8.png
238,169,190,44,133,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\9.png
102,64,69,54,26,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\10.png
189,208,238,69,41,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\11.png
172,0,230,76,46,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\12.png
127,179,109,54,135,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\13.png
116,207,48,37,25,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\14.png
177,52,115,46,23,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\15.png
118,235,216,76,31,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\16.png
97,158,0,62,29,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\17.png
62,241,227,67,32,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\18.png
87,112,59,53,57,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\19.png
159,15,238,23,0,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\20.png
120,125,161,76,30,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\21.png
171,226,15,75,24,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\22.png
1,247,35,72,58,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\23.png
136,66,85,56,129,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\24.png
135,157,161,47,128,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\25.png
74,0,184,76,68,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\26.png
234,247,190,58,109,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\27.png
210,216,46,70,2,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\28.png
51,199,219,65,99,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\29.png
98,86,218,68,103,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\30.png
48,98,226,42,21,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\31.png
118,157,104,41,128,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\32.png
65,84,160,52,66,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\33.png
45,153,91,31,117,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\34.png
169,127,47,40,136,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\35.png
225,132,241,56,49,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\36.png
228,26,144,68,49,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\37.png
174,202,226,75,111,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\38.png
16,252,53,33,114,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\39.png
218,104,176,38,111,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\40.png
37,84,185,27,125,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\41.png
250,152,49,76,22,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\42.png
74,225,241,76,43,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\43.png
92,146,76,45,10,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\44.png
222,191,183,58,110,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\45.png
143,212,81,74,61,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\46.png
232,157,206,41,116,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\47.png
56,56,182,35,82,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\48.png
53,117,66,48,100,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\49.png
160,236,54,37,10,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\50.png
200,3,113,55,46,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\51.png
88,240,187,65,42,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\52.png
90,63,31,74,117,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\53.png
130,158,34,38,106,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\54.png
87,81,96,39,131,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\55.png
59,59,25,67,102,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\56.png
110,2,38,41,131,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\57.png
119,23,2,64,24,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\58.png
123,167,192,62,132,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\59.png
199,158,139,53,97,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\60.png
21,53,170,41,122,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\61.png
105,229,10,67,43,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\62.png
247,179,194,47,31,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\63.png
92,16,19,63,109,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\64.png
91,204,128,55,109,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\65.png
75,97,100,27,61,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\66.png
190,112,119,71,117,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\67.png
52,67,209,54,115,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\68.png
32,57,223,24,4,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\69.png
147,52,40,35,128,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\70.png
190,53,33,75,61,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\71.png
22,86,251,26,134,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\72.png
200,166,18,69,82,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\73.png
10,83,66,68,62,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\74.png
153,111,87,75,117,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\75.png
133,126,230,56,104,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\76.png
72,44,55,47,130,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\77.png
86,52,233,65,111,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\78.png
166,192,86,32,1,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\79.png
176,176,205,61,131,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\80.png
186,20,111,69,96,C:\Users\longw\Desktop\G Drive\Praca_inzynierska\Engineering_Thesis\backups\images\220126_01334882\blocks\81.png
